date,price_for_regime,market_return,regime_label,bull_probability,bear_probability,expected_return
2020-06-24,125.74302556679,-0.011891867641609074,Bull Market,0.24416354011521052,0.7558364598847895,-0.0026829543119336217
2020-06-25,125.40888089911456,-0.002660898493929885,Bull Market,0.9999719904986228,2.8009501377116594e-05,0.002343805932892317
2020-06-26,125.05167053006632,-0.0028524301268935625,Bull Market,0.9999699121291657,3.00878708343393e-05,0.002343792109991876
2020-06-29,121.73859776909184,-0.026850911374971555,Bull Market,1.5474212856962923e-19,1.0,-0.004306846683161388
2020-06-30,121.25427887842632,-0.003986285842494023,Bull Market,0.9996472362076083,0.00035276379239173466,0.0023416460444198066
2020-07-01,123.60618503160904,0.019210765566501992,Bull Market,0.03529718726804584,0.9647028127319542,-0.004072090776921942
2020-07-02,123.75441798774558,0.0011985172422058884,Bull Market,0.99999224973702,7.75026298001973e-06,0.002343940673823188
2020-07-03,124.28538058323144,0.004281275904593203,Bull Market,0.9999952921760755,4.707823924634165e-06,0.002343960908595217
2020-07-06,125.40982310222957,0.009006581652216364,Bull Market,0.9999826602189474,1.7339781052559124e-05,0.0023438768954833324
2020-07-07,125.3063142617854,-0.0008257054963703497,Bull Market,0.9999905190149265,9.48098507353171e-06,0.002343929163069358
2020-07-08,125.64394947158466,0.0026908552196962853,Bull Market,0.9999981449544776,1.8550455224689636e-06,0.0023439798819647945
2020-07-09,127.42094257658016,0.014044005057229818,Bull Market,0.9992501789578437,0.0007498210421563472,0.002339005280616459
2020-07-10,126.9600064749012,-0.0036239868422889396,Bull Market,0.9999841125586033,1.5887441396727717e-05,0.0023438865547604154
2020-07-13,126.7733174135978,-0.0014715378502971525,Bull Market,0.9999986079591259,1.392040874115546e-06,0.0023439829613341218
2020-07-14,127.28313579894797,0.00401343137112942,Bull Market,0.9999997025706957,2.9742930421182536e-07,0.0023439902414193344
2020-07-15,127.58094871018332,0.0023370342459725145,Bull Market,0.9999996946188062,3.0538119382172094e-07,0.0023439901885325977
2020-07-16,127.72228575047887,0.0011072092763182509,Bull Market,0.9999995445246669,4.554753331645485e-07,0.0023439891902806566
2020-07-17,127.60945520715514,-0.0008837957258649919,Bull Market,0.9999990736581303,9.263418697249588e-07,0.0023439860586231772
2020-07-20,126.16615366997036,-0.011374750357832671,Bull Market,0.808722278054299,0.19127772194570108,0.0010718349052307038
2020-07-21,126.12368717273668,-0.0003366484951823318,Bull Market,0.9999989340826386,1.065917361367597e-06,0.0023439851303290677
